"created_at","updated_at","created_on","updated_on","deleted_at","id","name","abbr"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,1,"Alabama","AL"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,2,"Alaska","AK"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,3,"Arizona","AZ"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,4,"Arkansas","AR"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,5,"California","CA"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,6,"Colorado","CO"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,7,"Connecticut","CT"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,8,"Delaware","DE"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,9,"Florida","FL"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,10,"Georgia","GA"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,11,"Hawaii","HI"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,12,"Idaho","ID"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,13,"Illinois","IL"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,14,"Indiana","IN"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,15,"Iowa","IA"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,16,"Kansas","KS"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,17,"Kentucky","KY"
"2022-05-17 11:46:35.759263","2022-05-17 11:46:35.759263","2022-05-17","2022-05-17",,18,"Louisiana","LA"
